n,m,alpha,d,d0,d_policy_name,trials,perfect_rate,matched_proposer_fraction,avg_proposer_rank,std_proposer_rank,lb_rank,gap,ratio,runtime_mean
100,300,2.0,10,1.859566932646674,d=2ln(n),30,1.0,0.3333333333333334,5.171666666666667,2.876374550637583,24.76474551756882,-19.593078850902153,0.2088318114554312,0.004300134691099326
100,300,2.0,28,1.859566932646674,d=6ln(n),30,1.0,0.3333333333333334,13.417333333333334,7.989732967308037,69.34128744919269,-55.92395411585936,0.19349703224308312,0.006891691777855158
100,300,2.0,22,1.859566932646674,d=(ln(n))²,30,1.0,0.3333333333333334,10.837,6.374357300936307,54.4824401386514,-43.645440138651395,0.1989081247539778,0.006160594460864862
100,800,7.0,10,0.6141125098045253,d=2ln(n),30,1.0,0.125,5.414,2.880729768652381,74.98903071448484,-69.57503071448484,0.07219722602647582,0.011343776403615871
100,800,7.0,28,0.6141125098045253,d=6ln(n),30,1.0,0.125,14.254666666666667,8.100770224010938,209.96928600055753,-195.71461933389085,0.06788929437341049,0.019492645747959614
100,800,7.0,22,0.6141125098045253,d=(ln(n))²,30,1.0,0.125,11.267,6.353244131937636,164.97586757186664,-153.70886757186665,0.06829483709241219,0.01694898894056678
100,1600,15.0,10,0.29701899529685455,d=2ln(n),30,1.0,0.0625,5.417,2.918637410390906,155.04631888561443,-149.62931888561442,0.03493794653710158,0.022621923498809336
100,1600,15.0,28,0.29701899529685455,d=6ln(n),30,1.0,0.0625,14.523333333333333,8.055357775349826,434.1296928797204,-419.60635954638707,0.033453904608540926,0.03842666931450367
100,1600,15.0,22,0.29701899529685455,d=(ln(n))²,30,1.0,0.0625,11.298,6.332813697980806,341.1019015483517,-329.8039015483517,0.033122066891786275,0.03344362089410424
500,1500,2.0,13,2.517735553623121,d=2ln(n),30,1.0,0.3333333333333334,6.5578,3.7206261784812518,32.088320460514055,-25.530520460514055,0.20436719360458994,0.024630357138812543
500,1500,2.0,38,2.517735553623121,d=6ln(n),30,1.0,0.3333333333333334,18.1828,10.859253388700349,93.7966290384257,-75.6138290384257,0.1938534485343929,0.044356941959510246
500,1500,2.0,39,2.517735553623121,d=(ln(n))²,30,1.0,0.3333333333333334,18.795933333333334,11.260906866776859,96.26496138154216,-77.46902804820883,0.19525207368895559,0.04512320285042127
500,4000,7.0,13,0.829623327672026,d=2ln(n),30,1.0,0.125,6.8664,3.7198052422136296,97.38142911939318,-90.51502911939318,0.07051036385573622,0.0664398624872168
500,4000,7.0,38,0.829623327672026,d=6ln(n),30,1.0,0.125,19.19,10.989517732821582,284.65340819514927,-265.46340819514927,0.06741531788315688,0.1255437917386492
500,4000,7.0,39,0.829623327672026,d=(ln(n))²,30,1.0,0.125,19.426266666666667,11.306695511755658,292.1442873581795,-272.71802069151283,0.06649545278579881,0.12672520698979498
500,8000,15.0,13,0.40102982793670455,d=2ln(n),30,1.0,0.0625,6.9272,3.753633816272795,201.45610039819715,-194.52890039819715,0.03438565516908016,0.13227882500117025
500,8000,15.0,38,0.40102982793670455,d=6ln(n),30,1.0,0.0625,19.3962,11.003321872355942,588.8716780870378,-569.4754780870378,0.032937906035842936,0.2604439305141568
500,8000,15.0,39,0.40102982793670455,d=(ln(n))²,30,1.0,0.0625,19.7992,11.263217984217478,604.3683011945915,-584.5691011945914,0.03276015628361877,0.26836990419154366
1500,4500,2.0,15,2.964443159967382,d=2ln(n),30,1.0,0.3333333333333334,7.4862,4.286654821652894,37.004691905633145,-29.518491905633145,0.20230407590180186,0.08066942505538463
1500,4500,2.0,44,2.964443159967382,d=6ln(n),30,1.0,0.3333333333333334,21.046022222222224,12.660886126595456,108.54709625652389,-87.50107403430167,0.1938883945129699,0.15253034013633926
1500,4500,2.0,54,2.964443159967382,d=(ln(n))²,30,1.0,0.3333333333333334,25.558533333333333,15.504417881651953,133.2168908602793,-107.65835752694598,0.19185655188529857,0.1769697585143149
1500,12000,7.0,15,0.9764574412289764,d=2ln(n),30,1.0,0.125,7.841,4.323875203770083,112.3431510422896,-104.50215104228961,0.06979508699242727,0.22231964450329542
1500,12000,7.0,44,0.9764574412289764,d=6ln(n),30,1.0,0.125,22.086466666666666,12.740652833613616,329.5399097240495,-307.45344305738286,0.06702212999075426,0.46651391110693413
1500,12000,7.0,54,0.9764574412289764,d=(ln(n))²,30,1.0,0.125,26.922333333333334,15.61738885203143,404.4353437522426,-377.5130104189093,0.0665677066785389,0.5609785460246106
1500,24000,15.0,15,0.4719641140630836,d=2ln(n),30,1.0,0.0625,7.903844444444444,4.339807816817881,232.42933633655892,-224.52549189211447,0.03400536511019261,0.4598789318775137
1500,24000,15.0,44,0.4719641140630836,d=6ln(n),30,1.0,0.0625,22.21228888888889,12.749604790602069,681.7927199205728,-659.5804310316839,0.03257924034665047,1.036119872176399
1500,24000,15.0,54,0.4719641140630836,d=(ln(n))²,30,1.0,0.0625,27.170577777777776,15.558742197789767,836.7456108116121,-809.5750330338343,0.032471730268681456,1.2651769806010027
5000,15000,2.0,18,3.453140756427662,d=2ln(n),30,1.0,0.3333333333333334,8.88718,5.18219499642124,44.39711215365972,-35.50993215365972,0.20017473139336647,0.3544526763881246
5000,15000,2.0,52,3.453140756427662,d=6ln(n),30,1.0,0.3333333333333334,24.72036,14.912478940037659,128.25832399946142,-103.53796399946143,0.19273883541549947,0.7599572501455744
5000,15000,2.0,73,3.453140756427662,d=(ln(n))²,30,1.0,0.3333333333333334,34.510753333333334,20.97732595842049,180.05495484539776,-145.54420151206443,0.19166789030030093,1.0652327289804817
5000,40000,7.0,18,1.1372822496091193,d=2ln(n),30,1.0,0.125,9.293393333333333,5.189114923114431,134.8033678518981,-125.50997451856476,0.06894036463201374,1.003976009786129
5000,40000,7.0,52,1.1372822496091193,d=6ln(n),30,1.0,0.125,25.912733333333332,15.013988961261724,389.43195157215,-363.5192182388167,0.06653982352686458,2.5313257361451784
5000,40000,7.0,73,1.1372822496091193,d=(ln(n))²,30,1.0,0.125,36.15226,21.061723502420215,546.7025473993644,-510.55028739936444,0.06612784259370003,3.45850211813425
5000,80000,15.0,18,0.5496799551589582,d=2ln(n),30,1.0,0.0625,9.410266666666667,5.181903247091962,278.90680023279685,-269.4965335661302,0.03373982512729034,2.0418583790771665
5000,80000,15.0,52,0.5496799551589582,d=6ln(n),30,1.0,0.0625,26.202253333333335,15.009165652665558,805.7307562280798,-779.5285028947465,0.032519862411602186,5.160902991642555
5000,80000,15.0,73,0.5496799551589582,d=(ln(n))²,30,1.0,0.0625,36.633313333333334,21.071449267238886,1131.1220231663428,-1094.4887098330096,0.03238670327608504,7.365812749943386
